Date;Open;High;Low;Close;Adj Close;Volume;Returns
15.04.2019;87,199997;87,5;86,199997;87,199997;79,840988;24373;0
16.04.2019;87,199997;89,449997;87,199997;89,300003;81,763763;64816;2,41
17.04.2019;89,300003;89,300003;89,300003;89,300003;81,763763;0;0
23.04.2019;87;88,550003;85,800003;87,800003;80,390358;104433;0,92
24.04.2019;87,300003;88,400002;87;88,400002;80,93972;30553;1,26
25.04.2019;88,400002;88,550003;87,900002;88,400002;80,93972;25564;0
26.04.2019;88,400002;88,5;87;88,300003;80,848152;45355;-0,11
29.04.2019;88,300003;88,599998;87,599998;88,400002;80,93972;39639;0,11
30.04.2019;88,400002;88,400002;87,449997;87,550003;80,161453;41978;-0,96
02.05.2019;88,5;88,5;86,599998;87,199997;79,840988;60621;-1,47
03.05.2019;88;92,699997;88;89,300003;81,763763;237149;1,48
06.05.2019;86,5;89,949997;86,5;89,5;81,946884;35005;3,47
07.05.2019;89,5;91,800003;88,75;90,5;82,862495;194349;1,12
08.05.2019;90;91,349998;89,900002;91,099998;83,41185;46545;1,22
09.05.2019;90,75;92,849998;90,599998;91,5;83,778099;92993;0,83
10.05.2019;90,5;92,599998;90,5;91,449997;83,732323;68280;1,05
13.05.2019;90;91,050003;87,650002;87,949997;80,527687;65832;-2,28
14.05.2019;88,199997;89,550003;88,199997;89,5;81,946884;40014;1,47
15.05.2019;89,75;89,949997;89;89,5;81,946884;47447;-0,28
16.05.2019;90,25;92,599998;89,699997;92,050003;84,281685;94290;1,99
20.05.2019;92,300003;92,900002;88,849998;90,25;82,633591;75509;-2,22
21.05.2019;91,650002;91,650002;89,800003;90,599998;82,954048;53703;-1,15
22.05.2019;90,599998;94,099998;90,25;93,550003;85,655106;73912;3,26
23.05.2019;93,550003;94,150002;92,099998;93;85,15152;83294;-0,59
24.05.2019;93,099998;94,550003;93,050003;94,349998;86,387581;110187;1,34
27.05.2019;94,349998;95,550003;94,25;95;86,982735;132229;0,69
28.05.2019;95,199997;99;95,199997;97,400002;89,180183;210898;2,31
29.05.2019;97,300003;97,300003;96;96,800003;88,630814;112358;-0,51
31.05.2019;96,400002;96,400002;94,300003;95;86,982735;70981;-1,45
03.06.2019;95;96;95;95,75;87,669434;73475;0,79
04.06.2019;93,849998;95,650002;91,5;93;85,15152;110434;-0,91
05.06.2019;93;94,050003;92,699997;93,650002;85,746658;37193;0,7
06.06.2019;93,699997;93,849998;91,75;92;84,235909;63586;-1,81
07.06.2019;92;93,699997;91,900002;93,550003;85,655106;60253;1,68
11.06.2019;93,550003;93,699997;92,699997;93,5;85,609314;21537;-0,05
12.06.2019;93,599998;93,599998;92,5;93;85,15152;62936;-0,64
13.06.2019;93;94;91,349998;93,849998;85,929779;109738;0,91
14.06.2019;94,849998;94,849998;90,599998;92,599998;84,785263;77971;-2,37
17.06.2019;92,650002;93,550003;91,25;91,25;83,549194;60099;-1,51
18.06.2019;91,349998;92,150002;90,449997;92;84,235909;63582;0,71
19.06.2019;91,599998;94,449997;91,599998;93,599998;85,700867;74827;2,18
20.06.2019;93,650002;94,300003;93;94;86,067116;51341;0,37
21.06.2019;93,5;94,150002;92,300003;93,949997;86,021332;119267;0,48
24.06.2019;93,900002;94,800003;93,300003;93,300003;85,426193;38476;-0,64
25.06.2019;93,300003;94,449997;93,199997;94;86,067116;41082;0,75
